Timestamp_ms,SSID,BSSID,RSSI,Channel,SequenceNumber,BeaconInterval,BeaconTimestamp,Encryption,Privacy,ShortPreamble,ShortSlot,RateCount,SupportedRates,ExtRateCount,DSChannel,CountryCode,HasHT,HTChannelWidth,HTStreams,HasExtCap,OUI,VendorName,IsHidden,FrameLength,is_rogue,_rogue_type,SSID_Length,EmptySSID,BSSID_LocalAdmin,Timestamp_Ratio,UnusualChannel,Is_WEP,Is_Open,LowSeqNumber,LowTSF
18441,Pranav_105B_5G,E6:FA:C4:91:B6:4C,-92,3,887,100,1924944591262.0,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,2,,1,40,2,1,E6:FA:C4,Unknown,0,244,0,legitimate,14,0,2,104378299.05986336,1,0,0,0,0
67911,suresh4G,CA:78:C9:FE:B1:A4,-76,5,3218,100,8458827.0,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,6,IN,1,40,2,1,CA:78:C9,Unknown,0,228,1,evil_twin_last_octet,8,0,2,124.55570444104134,1,0,0,0,1
719091,Deco_Nest,E0:D3:62:1B:7F:E2,-83,8,731,100,451750195584.0,WPA2,1,1,1,8,1.0;2.0;5.5;11.0;6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,4,6,US,1,40,2,1,E0:D3:62,Unknown,0,392,0,legitimate,9,0,0,628223.0863144076,1,0,0,0,0
758381,,28:EE:52:C6:EA:30,-87,9,989,100,534355.0,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,9,,1,40,2,0,28:EE:52,Unknown,1,232,1,hidden_ssid,0,1,0,0.704598737839242,1,0,0,0,1
685831,Airtel__dontuse,1B:EC:75:27:87:96,-86,5,850,100,9436327.0,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,4,6,IN,1,20,2,1,1B:EC:75,Unknown,0,311,1,evil_twin_full_oui,15,0,2,13.758948255549464,1,0,0,0,1
554803,Dharanidharan-4G,04:AB:08:BD:E1:52,-87,1,3067,100,575889203602.0,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,1,IN,1,20,2,1,04:AB:08,Unknown,0,289,0,legitimate,16,0,0,1038004.7793491035,0,0,0,0,0
809344,ACT-ai_103784061836,0C:EF:15:FD:BE:61,-78,5,316,100,4366399.0,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,5,DE,1,20,2,1,0C:EF:15,Unknown,0,369,1,evil_twin_last_octet,19,0,0,5.394978655579512,1,0,0,0,1
306703,,F1:E1:A2:A7:90:7E,-94,10,1250,100,1352876.0,WEP,1,0,1,0,,0,0,,0,0,0,0,F1:E1:A2,Unknown,0,310,1,evil_twin_full_oui,0,1,0,4.411015180760603,1,1,0,0,1
498925,No_Internet4,FC:7A:58:3D:72:3D,-91,12,1142,100,4990776.0,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,11,IN,1,20,2,1,FC:7A:58,Unknown,0,285,1,channel_shift,12,0,0,10.003038526755471,1,0,0,0,1
60200,JioFiber_4G,F0:ED:B8:BC:70:D7,-95,1,1781,100,3374196941216.0,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,1,IN,1,20,2,1,F0:ED:B8,Unknown,0,284,0,legitimate,11,0,0,56048852.03262404,0,0,0,0,0
644004,Charleshome_4g,60:A4:B7:D0:B1:81,-85,6,158,100,18825625945.0,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,6,,1,40,2,1,60:A4:B7,Unknown,0,244,0,legitimate,14,0,0,29232.11146652588,0,0,0,0,0
1050752,ICF_65,B6:D5:08:AF:A2:91,-96,9,1471,100,8398836.0,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,9,,1,40,2,1,B6:D5:08,Unknown,0,315,1,evil_twin_full_oui,6,0,2,7.993159191551202,1,0,0,0,1
1144065,,9E:53:22:2A:F5:19,-90,5,796,100,3502689.0,WEP,1,0,1,0,,0,0,,0,0,0,0,9E:53:22,Unknown,0,334,1,local_admin_bssid,0,1,2,3.0616144523130657,1,1,0,0,1
