Timestamp_ms,SSID,BSSID,RSSI,Channel,SequenceNumber,BeaconInterval,BeaconTimestamp,Encryption,Privacy,ShortPreamble,ShortSlot,RateCount,SupportedRates,ExtRateCount,DSChannel,CountryCode,HasHT,HTChannelWidth,HTStreams,HasExtCap,OUI,VendorName,IsHidden,FrameLength
1769,ACT-ai_103743468848,9C:53:22:77:43:12,-77,2,1726,100,802964688551,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,1,,1,40,2,1,9C:53:22,Unknown,0,300
1822,Pranav_105B,E4:FA:C4:97:B6:4C,-88,2,564,100,1924928102753,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,2,,1,40,2,1,E4:FA:C4,Unknown,0,241
1865,Pranav_105B_5G,E6:FA:C4:91:B6:4C,-89,2,565,100,1924928104890,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,2,,1,40,2,1,E6:FA:C4,Unknown,0,244
1907,Tapo_Cam_A6EA,DE:62:79:27:A6:EA,-88,2,2663,100,802972365225,Open,0,0,1,8,1.0;2.0;5.5;11.0;6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,4,1,,1,20,1,0,DE:62:79,Unknown,0,161
1993,Deadpool (ground),10:27:F5:88:91:B5,-89,3,2928,100,802955372921,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,3,,1,20,2,1,10:27:F5,Unknown,0,345
2031,,12:27:F5:A8:91:B5,-89,3,2930,100,802955367929,WEP,1,0,1,0,,0,0,,0,0,0,0,12:27:F5,Unknown,0,263
2073,TP-Link_3C02,98:DA:C4:CB:3C:02,-80,3,1809,100,802967859783,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,3,,1,40,2,0,98:DA:C4,Unknown,0,265
2137,Deadpool (ground),10:27:F5:88:91:B5,-87,3,2934,100,802955469317,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,3,,1,20,2,1,10:27:F5,Unknown,0,345
2158,,12:27:F5:A8:91:B5,-89,3,2936,100,802955471348,WEP,1,0,1,0,,0,0,,0,0,0,0,12:27:F5,Unknown,0,263
2212,Deadpool (ground),10:27:F5:88:91:B5,-91,3,2939,100,802955571604,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,3,,1,20,2,1,10:27:F5,Unknown,0,345
2253,,12:27:F5:A8:91:B5,-88,3,2940,100,802955571639,WEP,1,0,1,0,,0,0,,0,0,0,0,12:27:F5,Unknown,0,263
2305,Pranav_105B,E4:FA:C4:97:B6:4C,-89,3,572,100,1924928512364,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,2,,1,40,2,1,E4:FA:C4,Unknown,0,241
2358,Arvind ,9E:A2:F4:20:C6:82,-94,4,3175,100,803145626021,WPA2,1,0,0,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,4,US,1,40,3,1,9E:A2:F4,Unknown,0,358
