BSSID,SSID,BeaconCount,CaptureTimeSpan_ms,MeanInterBeaconTime_ms,StdInterBeaconTime_ms,MinInterBeaconTime_ms,MaxInterBeaconTime_ms,ExpectedBeaconInterval_TU,TimingJitter,MissedBeacons,MeanSeqGap,StdSeqGap,MaxSeqGap,SeqNumberResets,ChannelChanges,UniqueChannels,MeanRSSI,StdRSSI,RSSIRange,Encryption,HasHT,SuspicionScore,SuspicionReasons
00:EB:D8:57:47:D0,NSG home_EXT,21,1434203,71710.15,139674.99730945897,71.0,487637.0,100,1.9477716516770809,16,-65.3,1247.5519649550306,3644.0,3,3,2,-92.57142857142857,1.468721504282843,5,WPA2,1,11,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; Weak_Signal; 
04:AB:08:2A:8A:52,Tanyaa-4G,102,1560795,15453.415841584158,65427.52406751571,52.0,438354.0,100,4.233855138177319,80,-12.386138613861386,599.1055327786087,3689.0,4,46,3,-86.09803921568627,5.72731824985137,26,WPA2,1,11,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; Weak_Signal; 
F0:A7:31:F9:A5:75,SG,56,1430675,26012.272727272728,76714.51435884302,44.0,356995.0,100,2.949166155537884,46,52.763636363636365,516.319667118345,2304.0,3,32,4,-87.51785714285714,5.059612171369988,19,WPA2,1,11,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; Weak_Signal; 
F0:A7:31:F8:68:16,JVACT,338,1661304,4929.685459940652,29891.447288612726,6.0,334662.0,100,6.063560753612264,235,9.798219584569733,439.74490129063054,2442.0,29,145,3,-86.63313609467455,5.553759086182799,25,WPA2,1,11,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; Weak_Signal; 
F0:A7:31:E8:CB:A5,Saurabh’s Wi-Fi ,125,1355891,10934.604838709678,55552.00074943604,30.0,432134.0,100,5.080384848265901,99,10.709677419354838,285.82582604169176,1122.0,3,65,5,-88.592,5.410706232598835,25,WPA2,1,11,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; Weak_Signal; 
04:AB:08:31:B0:12,ABFAMILY,87,1655179,19246.267441860466,61578.871727704194,96.0,350753.0,100,3.199522811917866,77,-7.406976744186046,715.4465718187648,2793.0,5,27,3,-88.85057471264368,5.399243563797949,23,WPA2,1,11,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; Weak_Signal; 
04:AB:08:36:36:22,Kushi,139,1164117,8435.630434782608,44109.88398763446,53.0,314785.0,100,5.228996732778539,85,-15.652173913043478,442.0847039122659,2080.0,3,77,5,-86.74820143884892,5.7371071905316615,26,WPA2,1,11,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; Weak_Signal; 
04:AB:08:7C:EB:C2,Jio4G,76,1163720,15516.266666666666,58113.90279241075,53.0,312035.0,100,3.7453534433969553,62,-12.786666666666667,382.52331825525226,2027.0,3,43,4,-89.77631578947368,3.489407530266521,16,WPA2,1,11,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; Weak_Signal; 
EA:48:B8:F9:00:99,ACT103619873565_5g,137,1420658,10446.014705882353,48704.67651255241,8.0,337653.0,100,4.662512726548561,90,-6.8088235294117645,589.7847129464042,2500.0,14,78,4,-85.4014598540146,5.67432278158605,24,WPA2,1,11,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; Weak_Signal; 
FC:7A:58:1B:1B:9A,VKS_4G,82,1658189,20471.46913580247,71834.32089539207,35.0,480705.0,100,3.5089968587673233,72,-9.333333333333334,1039.398912833759,3273.0,9,50,5,-87.95121951219512,6.295015545386016,31,WPA2,1,11,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; Weak_Signal; 
